month,basket_id,sector,role,export_usd_mn,export_inr_cr,quantity,quantity_unit,hs_level_used,codes_summed,n_codes,vintage_flag,retrieval_date,source_file,notes
2018-11,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,69.11,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-11,C1_LEATHER,Leather goods,CONTROL,219.28,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-11,C2_FOOTWEAR,Footwear,CONTROL,217.43,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-11,C3_COTTON,Cotton woven fabrics,CONTROL,137.39,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,174.44,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2018-12,B2_PHARMA,Pharmaceutical formulations,CORE,1170.81,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,B3_AC,Air conditioners,CORE,11.23,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,77.36,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,C1_LEATHER,Leather goods,CONTROL,222.16,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,C2_FOOTWEAR,Footwear,CONTROL,256.92,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2018-12,C3_COTTON,Cotton woven fabrics,CONTROL,152.05,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,202.68,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-01,B2_PHARMA,Pharmaceutical formulations,CORE,1125.89,,,,6,3003xx+3004xx,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,B3_AC,Air conditioners,CORE,12.84,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,86.09,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,C1_LEATHER,Leather goods,CONTROL,229.23,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,C2_FOOTWEAR,Footwear,CONTROL,272.7,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-01,C3_COTTON,Cotton woven fabrics,CONTROL,159.52,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,253.22,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-02,B2_PHARMA,Pharmaceutical formulations,CORE,1161.11,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,B3_AC,Air conditioners,CORE,14.69,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,80.23,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,C1_LEATHER,Leather goods,CONTROL,212.19,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,C2_FOOTWEAR,Footwear,CONTROL,269.53,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-02,C3_COTTON,Cotton woven fabrics,CONTROL,153.95,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,201.34,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-03,B2_PHARMA,Pharmaceutical formulations,CORE,1379.96,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,B3_AC,Air conditioners,CORE,19.4,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,99.75,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,C1_LEATHER,Leather goods,CONTROL,217.57,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,C2_FOOTWEAR,Footwear,CONTROL,245.68,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-03,C3_COTTON,Cotton woven fabrics,CONTROL,192.49,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,98.65,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-04,B2_PHARMA,Pharmaceutical formulations,CORE,1116.4,,,,6,3003xx+3004xx,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,B3_AC,Air conditioners,CORE,15.76,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,82.32,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,C1_LEATHER,Leather goods,CONTROL,168.04,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,C2_FOOTWEAR,Footwear,CONTROL,211.1,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-04,C3_COTTON,Cotton woven fabrics,CONTROL,153.87,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,272.98,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-05,B2_PHARMA,Pharmaceutical formulations,CORE,1181.92,,,,6,3003xx+3004xx,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,B3_AC,Air conditioners,CORE,16.92,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,85.4,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,C1_LEATHER,Leather goods,CONTROL,217.26,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,C2_FOOTWEAR,Footwear,CONTROL,238.47,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-05,C3_COTTON,Cotton woven fabrics,CONTROL,162.65,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,296.58,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
