month,basket_id,export_usd_mn,n_codes,vintage_flag,codes_absent,codes_starred
2021-04,B3_AC,16.52,6,R,,
2021-04,B4_TEXTILE,74.67,14,R,,
2021-04,C1_LEATHER,160.42,20,R,,
2021-04,C2_FOOTWEAR,164.43,25,R,,
2021-04,C3_COTTON,182.57,70,R,,
2021-05,B1_MOBILE,232.94,3,R,851713|851714,
2021-05,B2_PHARMA,1365.52,21,R,,
2021-05,B3_AC,14.58,6,R,,
2021-05,B4_TEXTILE,58.72,14,R,,
2021-05,C1_LEATHER,147.8,20,R,,
2021-05,C2_FOOTWEAR,144.16,25,R,,
2021-05,C3_COTTON,162.31,70,R,,
2021-06,B1_MOBILE,232.57,3,R,851713|851714,
2021-06,B2_PHARMA,1490.45,21,R,,
2021-06,B3_AC,16.3,6,R,,
2021-06,B4_TEXTILE,68.99,14,R,,
2021-06,C1_LEATHER,169.79,20,R,,
2021-06,C2_FOOTWEAR,187.81,25,R,,
2021-06,C3_COTTON,171.63,70,R,,
2021-07,B1_MOBILE,423.11,3,R,851713|851714,
2021-07,B2_PHARMA,1563.39,21,R,,
2021-07,B3_AC,19.16,6,R,,
2021-07,B4_TEXTILE,73.53,14,R,,
2021-07,C1_LEATHER,227.14,20,R,,
2021-07,C2_FOOTWEAR,214.94,25,R,,
2021-07,C3_COTTON,196.49,70,R,,
2021-08,B1_MOBILE,348.85,3,R,851713|851714,
2021-08,B2_PHARMA,1491.12,21,R,,
2021-08,B3_AC,18.37,6,R,,
2021-08,B4_TEXTILE,67.68,14,R,,
2021-08,C1_LEATHER,217.56,20,R,,
2021-08,C2_FOOTWEAR,221.49,25,R,,
2021-08,C3_COTTON,200.87,70,R,,
2021-09,B1_MOBILE,302.32,3,R,851713|851714,
2021-09,B2_PHARMA,1455.56,21,R,,
2021-09,B3_AC,19.63,6,R,,
2021-09,B4_TEXTILE,72.53,14,R,,
2021-09,C1_LEATHER,237.77,20,R,,
2021-09,C2_FOOTWEAR,208.87,25,R,,
2021-09,C3_COTTON,191.15,70,R,,
2021-10,B1_MOBILE,496.69,3,R,851713|851714,
2021-10,B2_PHARMA,1451.89,21,R,,
2021-10,B3_AC,18.83,6,R,,
2021-10,B4_TEXTILE,78.75,14,R,,
2021-10,C1_LEATHER,230.35,20,R,,
2021-10,C2_FOOTWEAR,197.97,25,R,,
2021-10,C3_COTTON,215.79,70,R,,
2021-11,B1_MOBILE,693.14,3,R,851713|851714,
2021-11,B2_PHARMA,1259.15,21,R,,
2021-11,B3_AC,17.49,6,R,,
2021-11,B4_TEXTILE,68.3,14,R,,
2021-11,C1_LEATHER,218.43,20,R,,
2021-11,C2_FOOTWEAR,194.18,25,R,,
2021-11,C3_COTTON,192.27,70,R,,
2021-12,B1_MOBILE,777.49,3,R,851713|851714,
2021-12,B2_PHARMA,1563.56,21,R,,
2021-12,B3_AC,20.45,6,R,,
2021-12,B4_TEXTILE,88.88,14,R,,
2021-12,C1_LEATHER,228.84,20,R,,
2021-12,C2_FOOTWEAR,236.59,25,R,,
2021-12,C3_COTTON,237.11,70,R,,
2022-01,B1_MOBILE,536.12,3,R,851713|851714,
2022-01,B2_PHARMA,1430.13,21,R,,
2022-01,B3_AC,20.59,6,R,,
2022-01,B4_TEXTILE,87.38,14,R,,
2022-01,C1_LEATHER,232.57,20,R,,
2022-01,C2_FOOTWEAR,241,25,R,,
2022-01,C3_COTTON,239.01,70,R,,
2022-02,B1_MOBILE,603.5,3,R,851713|851714,
2022-02,B2_PHARMA,1391.06,22,R,,
2022-02,B3_AC,25.22,6,R,,
2022-02,B4_TEXTILE,94.16,14,R,,
2022-02,C1_LEATHER,227.99,20,R,,
2022-02,C2_FOOTWEAR,242.31,25,R,,
2022-02,C3_COTTON,235.36,70,R,,
2022-03,B1_MOBILE,813.67,3,R,851713|851714,
2022-03,B2_PHARMA,1660.83,22,R,,
2022-03,B3_AC,26.57,6,R,,
2022-03,B4_TEXTILE,105.52,14,R,,
2022-03,C1_LEATHER,240.04,20,R,,
2022-03,C2_FOOTWEAR,256.6,25,R,,
2022-03,C3_COTTON,228.38,70,R,,
2022-04,B1_MOBILE,691.84,5,R,,
2022-04,B2_PHARMA,1455.59,21,R,,
2022-04,B3_AC,20.42,6,R,,
2022-04,B4_TEXTILE,87.83,14,R,,
2022-04,C1_LEATHER,219.4,20,R,,
2022-04,C2_FOOTWEAR,239.36,25,R,,
2022-04,C3_COTTON,210.77,70,R,,
2022-05,B1_MOBILE,448.42,5,R,,
2022-05,B2_PHARMA,1416.02,21,R,,
2022-05,B3_AC,23.95,6,R,,
2022-05,B4_TEXTILE,75.01,14,R,,
2022-05,C1_LEATHER,219.65,20,R,,
2022-05,C2_FOOTWEAR,248.65,25,R,,
2022-05,C3_COTTON,209.01,70,R,,
2022-06,B1_MOBILE,713.26,5,R,,
2022-06,B2_PHARMA,1487.62,21,R,,
2022-06,B3_AC,26.82,6,R,,
2022-06,B4_TEXTILE,80.5,14,R,,
2022-06,C1_LEATHER,252.97,20,R,,
2022-06,C2_FOOTWEAR,272.03,25,R,,
2022-06,C3_COTTON,179.13,70,R,,
2022-07,B1_MOBILE,695.72,5,R,,
2022-07,B2_PHARMA,1497.43,21,R,,
2022-07,B3_AC,29,6,R,,
2022-07,B4_TEXTILE,78.71,14,R,,
2022-07,C1_LEATHER,249.29,20,R,,
2022-07,C2_FOOTWEAR,297.68,25,R,,
2022-07,C3_COTTON,169.66,70,R,,
2022-08,B1_MOBILE,675.77,5,R,,
2022-08,B2_PHARMA,1550.58,21,R,,
2022-08,B3_AC,21.61,6,R,,
2022-08,B4_TEXTILE,83.41,14,R,,
2022-08,C1_LEATHER,234.32,20,R,,
2022-08,C2_FOOTWEAR,267.27,25,R,,
2022-08,C3_COTTON,183.11,70,R,,
2022-09,B1_MOBILE,895.47,5,R,,
2022-09,B2_PHARMA,1569.06,21,R,,
2022-09,B3_AC,21.82,6,R,,
2022-09,B4_TEXTILE,84.46,14,R,,
2022-09,C1_LEATHER,234.7,20,R,,
2022-09,C2_FOOTWEAR,257.91,25,R,,
2022-09,C3_COTTON,178.07,70,R,,
2022-10,B1_MOBILE,909.96,5,R,,
2022-10,B2_PHARMA,1336.67,21,R,,
2022-10,B3_AC,17.22,6,R,,
2022-10,B4_TEXTILE,80.99,14,R,,
2022-10,C1_LEATHER,193.88,20,R,,
2022-10,C2_FOOTWEAR,217.44,25,R,,
2022-10,C3_COTTON,151.41,70,R,,
2022-11,B1_MOBILE,1198.08,5,R,,
2022-11,B2_PHARMA,1435.52,21,R,,
2022-11,B3_AC,23.79,6,R,,
2022-11,B4_TEXTILE,78.8,14,R,,
2022-11,C1_LEATHER,218.61,20,R,,
2022-11,C2_FOOTWEAR,232.89,25,R,,
2022-11,C3_COTTON,148.85,70,R,,
2022-12,B1_MOBILE,1193.88,5,R,,
2022-12,B2_PHARMA,1611.81,21,R,,
2022-12,B3_AC,28.95,6,R,,
2022-12,B4_TEXTILE,89.78,14,R,,
2022-12,C1_LEATHER,214.84,20,R,,
2022-12,C2_FOOTWEAR,248.64,25,R,,
2022-12,C3_COTTON,168.23,70,R,,
2023-01,B1_MOBILE,1167.49,5,R,,
2023-01,B2_PHARMA,1399.34,20,R,,
2023-01,B3_AC,17.43,6,R,,
2023-01,B4_TEXTILE,105.22,14,R,,
2023-01,C1_LEATHER,203.92,20,R,,
2023-01,C2_FOOTWEAR,243.32,25,R,,
2023-01,C3_COTTON,167.81,70,R,,
2023-02,B1_MOBILE,953.05,5,R,,
2023-02,B2_PHARMA,1448.01,20,R,,
2023-02,B3_AC,23.31,6,R,,
2023-02,B4_TEXTILE,103.2,14,R,,
2023-02,C1_LEATHER,186.69,20,R,,
2023-02,C2_FOOTWEAR,215.57,25,R,,
2023-02,C3_COTTON,169.7,70,R,,
2023-03,B1_MOBILE,1648.13,5,R,,
2023-03,B2_PHARMA,1757.08,20,R,,
2023-03,B3_AC,33.66,6,R,,
2023-03,B4_TEXTILE,119.97,14,R,,
2023-03,C1_LEATHER,200.06,20,R,,
2023-03,C2_FOOTWEAR,211.15,25,R,,
2023-03,C3_COTTON,180.74,70,R,,
2023-04,B1_MOBILE,1068.72,5,R,,
2023-04,B2_PHARMA,1659.48,21,R,,
2023-04,B3_AC,27.77,6,R,,
2023-04,B4_TEXTILE,85.37,14,R,,
2023-04,C1_LEATHER,193.19,20,R,,
2023-04,C2_FOOTWEAR,187.97,25,R,,
2023-04,C3_COTTON,156.69,70,R,,
2023-05,B1_MOBILE,1365.96,5,R,,
2023-05,B2_PHARMA,1485.16,21,R,,
2023-05,B3_AC,25.63,6,R,,
2023-05,B4_TEXTILE,91.69,14,R,,
2023-05,C1_LEATHER,193,20,R,,
2023-05,C2_FOOTWEAR,229.94,25,R,,
2023-05,C3_COTTON,152.63,70,R,,
2023-06,B1_MOBILE,1292.71,5,R,,
2023-06,B2_PHARMA,1558.49,21,R,,
2023-06,B3_AC,28.07,6,R,,
2023-06,B4_TEXTILE,80.49,14,R,,
2023-06,C1_LEATHER,220.74,20,R,,
2023-06,C2_FOOTWEAR,232.03,25,R,,
2023-06,C3_COTTON,140.14,70,R,,
2023-07,B1_MOBILE,952.79,5,R,,
2023-07,B2_PHARMA,1498.92,21,R,,
2023-07,B3_AC,21.81,6,R,,
2023-07,B4_TEXTILE,86.47,14,R,,
2023-07,C1_LEATHER,220.21,20,R,,
2023-07,C2_FOOTWEAR,245.68,25,R,,
2023-07,C3_COTTON,153.23,70,R,,
2023-08,B1_MOBILE,955.35,5,R,,
2023-08,B2_PHARMA,1618.75,21,R,,
2023-08,B3_AC,25.49,6,R,,
2023-08,B4_TEXTILE,97.54,14,R,,
2023-08,C1_LEATHER,235.73,20,R,,
2023-08,C2_FOOTWEAR,233.59,25,R,,
2023-08,C3_COTTON,173.4,70,R,,
2023-09,B1_MOBILE,913.58,5,R,,
2023-09,B2_PHARMA,1758.81,21,R,,
2023-09,B3_AC,27.24,6,R,,
2023-09,B4_TEXTILE,86.69,14,R,,
2023-09,C1_LEATHER,207.95,20,R,,
2023-09,C2_FOOTWEAR,170.21,25,R,,
2023-09,C3_COTTON,156.42,70,R,,
2023-10,B1_MOBILE,1268.8,5,R,,
2023-10,B2_PHARMA,1690.92,21,R,,
2023-10,B3_AC,23.03,6,R,,
2023-10,B4_TEXTILE,92.99,14,R,,
2023-10,C1_LEATHER,201.23,20,R,,
2023-10,C2_FOOTWEAR,180.72,25,R,,
2023-10,C3_COTTON,158.73,70,R,,
2023-11,B1_MOBILE,1267.83,5,R,,
2023-11,B2_PHARMA,1530.11,21,R,,
2023-11,B3_AC,28.12,6,R,,
2023-11,B4_TEXTILE,73.38,14,R,,
2023-11,C1_LEATHER,184.22,20,R,,
2023-11,C2_FOOTWEAR,182.55,25,R,,
2023-11,C3_COTTON,134,70,R,,
2023-12,B1_MOBILE,1447.14,5,R,,
2023-12,B2_PHARMA,1782.74,21,R,,
2023-12,B3_AC,32.73,6,R,,
2023-12,B4_TEXTILE,84.76,14,R,,
2023-12,C1_LEATHER,199.53,20,R,,
2023-12,C2_FOOTWEAR,201.23,25,R,,
2023-12,C3_COTTON,148.02,70,R,,
2024-01,B1_MOBILE,1317.7,5,R,,
2024-01,B2_PHARMA,1521.03,20,R,,
2024-01,B3_AC,25.84,6,R,,
2024-01,B4_TEXTILE,89.63,14,R,,
2024-01,C1_LEATHER,190.09,20,R,,
2024-01,C2_FOOTWEAR,218.79,25,R,,
2024-01,C3_COTTON,148.81,70,R,,
2024-02,B1_MOBILE,1758.92,5,R,,
2024-02,B2_PHARMA,1856.28,20,R,,
2024-02,B3_AC,30.04,6,R,,
2024-02,B4_TEXTILE,104.49,14,R,,
2024-02,C1_LEATHER,194.42,20,R,,
2024-02,C2_FOOTWEAR,204.96,25,R,,
2024-02,C3_COTTON,166.1,70,R,,
2024-03,B1_MOBILE,1990.33,5,R,,
2024-03,B2_PHARMA,2023.67,20,R,,
2024-03,B3_AC,40.97,6,R,,
2024-03,B4_TEXTILE,98.8,14,R,,
2024-03,C1_LEATHER,206.7,20,R,,
2024-03,C2_FOOTWEAR,202.37,25,R,,
2024-03,C3_COTTON,184.05,70,R,,
2024-04,B1_MOBILE,1513.61,5,R,,
2024-04,B2_PHARMA,1875.97,20,R,,
2024-04,B3_AC,23.56,6,R,,
2024-04,B4_TEXTILE,76.55,14,R,,
2024-04,C1_LEATHER,184.4,20,R,,
2024-04,C2_FOOTWEAR,169.85,25,R,,
2024-04,C3_COTTON,144.92,70,R,,
2024-05,B1_MOBILE,1780.8,5,R,,
2024-05,B2_PHARMA,1660.53,20,R,,
2024-05,B3_AC,34.29,6,R,,
2024-05,B4_TEXTILE,87.06,14,R,,
2024-05,C1_LEATHER,211.18,20,R,,
2024-05,C2_FOOTWEAR,198.96,25,R,,
2024-05,C3_COTTON,160.61,70,R,,
2024-06,B1_MOBILE,1612.51,5,R,,
2024-06,B2_PHARMA,1805.45,20,R,,
2024-06,B3_AC,32.99,6,R,,
2024-06,B4_TEXTILE,72.87,14,R,,
2024-06,C1_LEATHER,216.89,20,R,,
2024-06,C2_FOOTWEAR,229.88,25,R,,
2024-06,C3_COTTON,139.83,70,R,,
2024-07,B1_MOBILE,1550.24,5,R,,
2024-07,B2_PHARMA,1709.62,20,R,,
2024-07,B3_AC,34.4,6,R,,
2024-07,B4_TEXTILE,82.18,14,R,,
2024-07,C1_LEATHER,225.17,20,R,,
2024-07,C2_FOOTWEAR,249.39,25,R,,
2024-07,C3_COTTON,146.14,70,R,,
2024-08,B1_MOBILE,1098.86,5,R,,
2024-08,B2_PHARMA,1735.66,20,R,,
2024-08,B3_AC,39.16,6,R,,
2024-08,B4_TEXTILE,85.01,14,R,,
2024-08,C1_LEATHER,244.02,20,R,,
2024-08,C2_FOOTWEAR,227.77,25,R,,
2024-08,C3_COTTON,153.55,70,R,,
2024-09,B1_MOBILE,924.51,5,R,,
2024-09,B2_PHARMA,1846.9,20,R,,
2024-09,B3_AC,35.04,6,R,,
2024-09,B4_TEXTILE,87.28,14,R,,
2024-09,C1_LEATHER,228.09,20,R,,
2024-09,C2_FOOTWEAR,192.15,25,R,,
2024-09,C3_COTTON,166.49,70,R,,
2024-10,B1_MOBILE,2212.74,5,R,,
2024-10,B2_PHARMA,1912,20,R,,
2024-10,B3_AC,40.33,6,R,,
2024-10,B4_TEXTILE,96.62,14,R,,
2024-10,C1_LEATHER,236.97,20,R,,
2024-10,C2_FOOTWEAR,203.51,25,R,,
2024-10,C3_COTTON,178.7,70,R,,
2024-11,B1_MOBILE,2403.13,5,R,,
2024-11,B2_PHARMA,1524.35,20,R,,
2024-11,B3_AC,32.33,6,R,,
2024-11,B4_TEXTILE,66.97,14,R,,
2024-11,C1_LEATHER,200.52,20,R,,
2024-11,C2_FOOTWEAR,184.11,25,R,,
2024-11,C3_COTTON,139.45,70,R,,
2024-12,B1_MOBILE,2302.65,5,R,,
2024-12,B2_PHARMA,1819.28,20,R,,
2024-12,B3_AC,39.43,6,R,,
2024-12,B4_TEXTILE,91.12,14,R,,
