block,basket_id,metric,value,note
stationarity,B1_MOBILE,adf_lnY_ct_stat,-2.589,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,adf_lnY_ct_p,0.2848,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,adf_lnY_lags,12,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,adf_growth_c_stat,-3.278,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,adf_growth_c_p,0.0159,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,adf_growth_lags,11,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,kpss_lnY_ct_stat,0.0586,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,kpss_lnY_ct_p,0.1,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,kpss_growth_c_stat,0.1311,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,kpss_growth_c_p,0.1,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,za_lnY_stat,-4.252,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,za_lnY_p,0.3421,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,za_lnY_crit5,-5.073,evidence consistent with; no single test establishes integration order
stationarity,B1_MOBILE,za_break,2020-02,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_lnY_ct_stat,-3.957,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_lnY_ct_p,0.0101,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_lnY_lags,2,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_growth_c_stat,-7.911,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_growth_c_p,0.0,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,adf_growth_lags,4,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,kpss_lnY_ct_stat,0.1423,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,kpss_lnY_ct_p,0.0569,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,kpss_growth_c_stat,0.1447,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,kpss_growth_c_p,0.1,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,za_lnY_stat,-4.9,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,za_lnY_p,0.0822,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,za_lnY_crit5,-5.073,evidence consistent with; no single test establishes integration order
stationarity,B2_PHARMA,za_break,2021-03,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_lnY_ct_stat,-7.138,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_lnY_ct_p,0.0,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_lnY_lags,0,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_growth_c_stat,-7.188,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_growth_c_p,0.0,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,adf_growth_lags,4,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,kpss_lnY_ct_stat,0.1305,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,kpss_lnY_ct_p,0.0787,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,kpss_growth_c_stat,0.5,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,kpss_growth_c_p,0.0417,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,za_lnY_stat,-8.461,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,za_lnY_p,0.0009,evidence consistent with; no single test establishes integration order
stationarity,B3_AC,za_lnY_crit5,-5.073,evidence consistent with; no single test establishes integration order
